# BEGIN PLOT
# END PLOT

# BEGIN HISTOGRAM tnchg
ErrorBars=1
PolyMarker=*
Title=Toward Region Charged Particle Density dpT/deta dphi
0	5	0.394778	0.031547
5	10	0.407196	0.032506
10	15	0.413388	0.040663
15	20	0.440673	0.027468
20	25	0.449422	0.037642
25	30	0.468853	0.034293
30	35	0.472427	0.043759
35	40	0.498721	0.031970
40	45	0.506623	0.035961
45	50	0.529177	0.057308
50	55	0.541870	0.088619
55	60	0.477396	0.054089
60	65	0.542835	0.073586
65	70	0.525098	0.094566
70	75	0.529174	0.110497
75	80	0.536870	0.091521
80	85	0.516680	0.109137
85	90	0.600196	0.105087
90	95	0.503798	0.115320
95	100	0.512181	0.162127
100	105	0.452241	0.226969
# END HISTOGRAM

# BEGIN HISTOGRAM pnchg
ErrorBars=1
PolyMarker=*
Title=Transverse Region Charged Particle Density dpT/deta dphi
0	5	0.432857	0.033256
5	10	0.470149	0.030222
10	15	0.498985	0.035733
15	20	0.520949	0.032495
20	25	0.552333	0.034534
25	30	0.589811	0.036317
30	35	0.580311	0.031322
35	40	0.613461	0.050747
40	45	0.587963	0.043109
45	50	0.641568	0.079833
50	55	0.683483	0.054451
55	60	0.597952	0.059673
60	65	0.694999	0.069423
65	70	0.717952	0.120315
70	75	0.683204	0.111105
75	80	0.701433	0.100063
80	85	0.629026	0.150560
85	90	0.668433	0.122401
90	95	0.656220	0.137423
95	100	0.611608	0.159625
100	105	0.597525	0.182237
# END HISTOGRAM

# BEGIN HISTOGRAM anchg
ErrorBars=1
PolyMarker=*
Title=Away Region Charged Particle Density dpT/deta dphi
0	5	0.500067	0.028768
5	10	0.681471	0.025608
10	15	0.862235	0.023963
15	20	1.043896	0.024941
20	25	1.167430	0.032475
25	30	1.325258	0.033310
30	35	1.417607	0.042402
35	40	1.555297	0.053706
40	45	1.607258	0.060682
45	50	1.692499	0.073577
50	55	1.838979	0.082030
55	60	1.838490	0.094427
60	65	2.053683	0.112728
65	70	1.987968	0.129264
70	75	2.096056	0.149217
75	80	2.417849	0.187971
80	85	2.233296	0.205936
85	90	2.270322	0.223407
90	95	2.311707	0.249733
95	100	2.483933	0.339898
100	105	2.584510	0.303392
# END HISTOGRAM




# BEGIN HISTOGRAM tcptsum
ErrorBars=1
PolyMarker=*
Title=Toward Region Charged pT Sum Density dpT/deta dphi
0	5	0.385239	0.029231
5	10	0.407006	0.030745
10	15	0.426120	0.036506
15	20	0.463546	0.026416
20	25	0.481271	0.049220
25	30	0.526223	0.031497
30	35	0.546052	0.050077
35	40	0.573497	0.049198
40	45	0.606451	0.062963
45	50	0.626378	0.078346
50	55	0.636190	0.104721
55	60	0.580454	0.091587
60	65	0.710994	0.172911
65	70	0.631298	0.149934
70	75	0.735287	0.184340
75	80	0.754999	0.194234
80	85	0.602642	0.211920
85	90	0.747577	0.214870
90	95	0.598577	0.151926
95	100	0.821788	0.461680
100	105	0.611754	0.314185
# END HISTOGRAM

# BEGIN HISTOGRAM pcptsum
ErrorBars=1
PolyMarker=*
Title=Transverse Region Charged pT Sum Density dpT/deta dphi
0	5	0.430397	0.028474
5	10	0.475305	0.028406
10	15	0.533370	0.031559
15	20	0.582528	0.042611
20	25	0.638274	0.035653
25	30	0.723357	0.049633
30	35	0.728314	0.057103
35	40	0.807920	0.079776
40	45	0.788216	0.076486
45	50	0.898931	0.187703
50	55	0.906346	0.112438
55	60	0.860854	0.114924
60	65	0.976380	0.146984
65	70	1.228516	0.230941
70	75	1.161554	0.324874
