# BEGIN PLOT
YMin=0.66
XMin=0
XMax=48
# END PLOT

# BEGIN HISTOGRAM mean_pT_vs_multiplicity
ErrorBars=1
PolyMarker=*
Title=Mean track pT vs event multiplicity
0.5	1.5	0.6989	0.0016
1.5	2.5	0.7141	0.0016
2.5	3.5	0.7362	0.0016
3.5	4.5	0.7601	0.0017
4.5	5.5	0.7826	0.0018
5.5	6.5	0.8023	0.0018
6.5	7.5	0.8193	0.0019
7.5	8.5	0.8341	0.0019
8.5	9.5	0.8470	0.0003
9.5	10.5	0.8587	0.0004
10.5	11.5	0.8694	0.0004
11.5	12.5	0.8794	0.0005
12.5	13.5	0.8891	0.0006
13.5	14.5	0.8980	0.0006
14.5	15.5	0.9069	0.0007
15.5	16.5	0.9156	0.0008
16.5	17.5	0.9235	0.0008
17.5	18.5	0.9312	0.0010
18.5	19.5	0.9384	0.0011
19.5	20.5	0.9457	0.0013
20.5	21.5	0.9525	0.0015
21.5	22.5	0.9603	0.0017
22.5	23.5	0.9681	0.0019
23.5	24.5	0.9752	0.0024
24.5	25.5	0.9836	0.0027
25.5	26.5	0.9916	0.0030
26.5	27.5	0.9986	0.0057
27.5	28.5	1.0073	0.0043
28.5	29.5	1.0143	0.0052
29.5	30.5	1.0208	0.0063
30.5	31.5	1.0307	0.0080
31.5	32.5	1.0419	0.0098
32.5	33.5	1.0486	0.0105
33.5	34.5	1.0563	0.0146
34.5	35.5	1.0656	0.0154
35.5	36.5	1.0735	0.0259
36.5	37.5	1.0791	0.0318
37.5	38.5	1.0925	0.0321
38.5	40.5	1.1122	0.0390
40.5	43.5	1.1246	0.0388
43.5	46.5	1.1487	0.0694
# END HISTOGRAM

