# BEGIN PLOT
# END PLOT

# BEGIN HISTOGRAM tnchg
ErrorBars=1
PolyMarker=*
Title=Toward Region Charged Particle Density dpT/deta dphi
0	5	0.394497	0.036894
5	10	0.410879	0.040925
10	15	0.418955	0.041376
15	20	0.437691	0.038758
20	25	0.443163	0.042726
25	30	0.461998	0.038099
30	35	0.4772	0.049888
35	40	0.474845	0.04097
40	45	0.503003	0.039115
45	50	0.488912	0.063972
50	55	0.531948	0.07763
55	60	0.497831	0.054962
60	65	0.563499	0.070858
65	70	0.519012	0.096435
70	75	0.460939	0.126092
75	80	0.539187	0.087076
80	85	0.589533	0.099774
85	90	0.572404	0.087589
90	95	0.622034	0.116974
95	100	0.470167	0.160005
# END HISTOGRAM

# BEGIN HISTOGRAM pnchg
ErrorBars=1
PolyMarker=*
Title=Transverse Region Charged Particle Density dpT/deta dphi
0	5	0.429884	0.038157
5	10	0.464533	0.037487
10	15	0.496781	0.035923
15	20	0.516205	0.041102
20	25	0.544145	0.039504
25	30	0.578553	0.040471
30	35	0.576329	0.039492
35	40	0.582738	0.046551
40	45	0.611854	0.04412
45	50	0.595556	0.053481
50	55	0.657754	0.066325
55	60	0.618262	0.058964
60	65	0.696817	0.071029
65	70	0.684587	0.110465
70	75	0.625926	0.091369
75	80	0.724213	0.082703
80	85	0.731066	0.168224
85	90	0.627164	0.098195
90	95	0.632667	0.108149
95	100	0.714989	0.121684
# END HISTOGRAM

# BEGIN HISTOGRAM pmaxnchg
ErrorBars=1
PolyMarker=*
Title=TransMAX Region Charged Particle Density dpT/deta dphi
0	5	1.	1.
5	10	1.	1.
10	15	1.	1.
15	20	1.	1.
20	25	1.	1.
25	30	1.	1.
30	35	1.	1.
35	40	1.	1.
40	45	1.	1.
45	50	1.	1.
50	55	1.	1.
55	60	1.	1.
60	65	1.	1.
65	70	1.	1.
70	75	1.	1.
75	80	1.	1.
80	85	1.	1.
85	90	1.	1.
90	95	1.	1.
95	100	1.	1.
# END HISTOGRAM

# BEGIN HISTOGRAM pminnchg
ErrorBars=1
PolyMarker=*
Title=TransMIN Region Charged Particle Density dpT/deta dphi
0	5	0.20718	0.054345
5	10	0.225341	0.059979
10	15	0.247104	0.047265
